sentence,sentence_with_entity,class,subject_entity,object_entity,영진,준홍
"유튜브의 ‘크리에이터’, 아프리카TV의 ‘BJ(Broadcasting Jockey · 개인 방송 운영자)’와 동일한 개념으로 생각하면 된다.","<obj:유튜브>의 ‘크리에이터’, <sbj:아프리카TV>의 ‘BJ(Broadcasting Jockey · 개인 방송 운영자)’와 동일한 개념으로 생각하면 된다.",no_relation:no_relation,"{'start': 14, 'text': '아프리카TV', 'type': 'no_relation'}","{'start': 0, 'text': '유튜브', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"2020년 7월 16일, 미국의 라디오 방송인 엔터컴(Entercom)은 트위치 채널에서 라디오 시장의 주요 스포츠 토크 방송국 프로그램의 비디오 시뮬레이션을 스트리밍하기 위한 제휴를 발표했다.","2020년 7월 16일, <obj:미국>의 라디오 방송인 <sbj:엔터컴>(Entercom)은 트위치 채널에서 라디오 시장의 주요 스포츠 토크 방송국 프로그램의 비디오 시뮬레이션을 스트리밍하기 위한 제휴를 발표했다.",org:location,"{'start': 26, 'text': '엔터컴', 'type': 'org'}","{'start': 14, 'text': '미국', 'type': 'loc'}",no_relation:no_relation,no_relation:no_relation
"2002년 2월 이베이는 1998년에 세워진, 이베이와 비슷한 유럽의 경매 사이트 아이바자(iBazar)를 인수했고, 2002년 10월 3일 페이팔을 자회사로 편입하였다.","2002년 2월 이베이는 <sbj:1998년>에 세워진, 이베이와 비슷한 유럽의 경매 사이트 <obj:아이바자>(iBazar)를 인수했고, 2002년 10월 3일 페이팔을 자회사로 편입하였다.",org:founded,"{'start': 14, 'text': '1998년', 'type': 'org'}","{'start': 46, 'text': '아이바자', 'type': 'dat'}",org:founded,org:founded
Twitch TEKKEN CRASH - 4년만에 부활한 철권리그의 9번째이자 SPOTV 게임즈의 첫 방송으로 진행하여 영어 중계까지 도입한 최초의 대회이다.,<obj:Twitch TEKKEN CRASH> - 4년만에 부활한 철권리그의 9번째이자 <sbj:SPOTV 게임즈>의 첫 방송으로 진행하여 영어 중계까지 도입한 최초의 대회이다.,org:production,"{'start': 43, 'text': 'SPOTV 게임즈', 'type': 'org'}","{'start': 0, 'text': 'Twitch TEKKEN CRASH', 'type': 'poh'}",org:production,org:production
2014년의 경우 가장 팔로워(follower)가 많은 패션브랜드는 엘엘빈(L.L.Bean)과 노드스트롬(Nordstrom)이다.,2014년의 경우 가장 팔로워(follower)가 많은 패션브랜드는 <sbj:엘엘빈>(L.L.Bean)과 <obj:노드스트롬>(Nordstrom)이다.,no_relation:no_relation,"{'start': 38, 'text': '엘엘빈', 'type': 'no_relation'}","{'start': 53, 'text': '노드스트롬', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"2018년 4월, 트위치는 아마존 프라임 비디오와의 새로운 스트리밍 계약의 일환으로 내셔널 풋볼 리그 목요일 밤 축구 경기(Thursday Night Football)를 11번 방영할 것이라고 발표했다.","2018년 4월, <sbj:트위치>는 <obj:아마존 프라임> 비디오와의 새로운 스트리밍 계약의 일환으로 내셔널 풋볼 리그 목요일 밤 축구 경기(Thursday Night Football)를 11번 방영할 것이라고 발표했다.",org:contract,"{'start': 10, 'text': '트위치', 'type': 'org'}","{'start': 15, 'text': '아마존 프라임', 'type': 'org'}",org:contract,org:contract
게임은 중국의 국영 매체에서 방송되지 않아 많은 사람들이 게임 토너먼트를 보기 위해 트위치를 사용해야했다.,게임은 <obj:중국>의 국영 매체에서 방송되지 않아 많은 사람들이 게임 토너먼트를 보기 위해 <sbj:트위치>를 사용해야했다.,no_relation:no_relation,"{'start': 47, 'text': '트위치', 'type': 'no_relation'}","{'start': 4, 'text': '중국', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"대부분의 제품 분류 리스팅에서 이베이 판매자는 에스크로 닷컴(en:Escrow.com), 페이팔, 페이메이트(Paymate), 프로페이(Propay) 및 스크릴(Skrill)과 같은 다양한 지불 시스템을 제공할 수 있는데, 프로페이와 스크릴은 사용 빈도가 적어서 2015년 9월 27일부터 중지되었다.","대부분의 제품 분류 리스팅에서 이베이 판매자는 <obj:에스크로 닷컴>(en:Escrow.com), 페이팔, 페이메이트(Paymate), <sbj:프로페이>(Propay) 및 스크릴(Skrill)과 같은 다양한 지불 시스템을 제공할 수 있는데, 프로페이와 스크릴은 사용 빈도가 적어서 2015년 9월 27일부터 중지되었다.",no_relation:no_relation,"{'start': 71, 'text': '프로페이', 'type': 'no_relation'}","{'start': 26, 'text': '에스크로 닷컴', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"1996년 초 제프리 스콜이 이베이의 첫 번째 새로운 사장으로 고용되었으며, 1996년 11월 이베이는 비행기 표와 다른 여행 상품을 판매하는 스마트마켓 테크놀로지를 사용하기 위해 일렉트로닉 트래블 옥션이라는 회사와 첫 번째 제3자 사용권 계약을 맺었다.","1996년 초 <sbj:제프리 스콜>이 <obj:이베이>의 첫 번째 새로운 사장으로 고용되었으며, 1996년 11월 이베이는 비행기 표와 다른 여행 상품을 판매하는 스마트마켓 테크놀로지를 사용하기 위해 일렉트로닉 트래블 옥션이라는 회사와 첫 번째 제3자 사용권 계약을 맺었다.",per:employee_of,"{'start': 8, 'text': '제프리 스콜', 'type': 'per'}","{'start': 16, 'text': '이베이', 'type': 'org'}",per:employee_of,per:employee_of
"수수료는 물건의 최종 가격, 리스팅의 형식 그리고 물건을 올릴 때 선택한 제품 분류 즉, 카테고리에 따라서 달라지며 또한 리스팅을 올릴 때 별도의 추가 업그레이드 옵션을 선택한 경우 또는 이베이가 정한 판매자 성과 기준에 부합되는지 여부에 따라서도 달라진다.2018년 6월 현재 이베이 닷컴은 매달 50개까지의 무료 리스팅을 올릴 수 있으며 이 숫자를 초과한 경우는 리스팅을 올릴 때마다 별도의 0.35 달러 수수료가 있다.","수수료는 물건의 최종 가격, 리스팅의 형식 그리고 물건을 올릴 때 선택한 제품 분류 즉, 카테고리에 따라서 달라지며 또한 리스팅을 올릴 때 별도의 추가 업그레이드 옵션을 선택한 경우 또는 이베이가 정한 판매자 성과 기준에 부합되는지 여부에 따라서도 달라진다.<obj:2018년 6월> 현재 <sbj:이베이 닷컴>은 매달 50개까지의 무료 리스팅을 올릴 수 있으며 이 숫자를 초과한 경우는 리스팅을 올릴 때마다 별도의 0.35 달러 수수료가 있다.",no_relation:no_relation,"{'start': 156, 'text': '이베이 닷컴', 'type': 'no_relation'}","{'start': 144, 'text': '2018년 6월', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"트위치의 가장 큰 자선 행사는 아드리앙 누가렛과 알렉산드르 두차리가 만든 프랑스 프로젝트인 Zevent로, 2020년 10월 국제사면위원회(Amness International)를 위해 미화 690만 달러 이상이 모금됐다.","<sbj:트위치>의 가장 큰 자선 행사는 아드리앙 누가렛과 알렉산드르 두차리가 만든 프랑스 프로젝트인 Zevent로, 2020년 10월 <obj:국제사면위원회>(Amness International)를 위해 미화 690만 달러 이상이 모금됐다.",no_relation:no_relation,"{'start': 0, 'text': '트위치', 'type': 'no_relation'}","{'start': 70, 'text': '국제사면위원회', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"2000년 4월 첫 선을 보인 G마켓은 업계 최초 연간 거래 액 4조 억 돌파, 월 거래 액 3천억 원을 달성하는 놀라운 성장세를 기록하며 한국 온라인쇼핑 No.1 브랜드 로서의 위치를 확고히 다졌다.","<obj:2000년 4월> 첫 선을 보인 <sbj:G마켓>은 업계 최초 연간 거래 액 4조 억 돌파, 월 거래 액 3천억 원을 달성하는 놀라운 성장세를 기록하며 한국 온라인쇼핑 No.1 브랜드 로서의 위치를 확고히 다졌다.",org:founded,"{'start': 17, 'text': 'G마켓', 'type': 'org'}","{'start': 0, 'text': '2000년 4월', 'type': 'dat'}",org:founded,org:founded
아마존 자회사 인터넷방송플랫폼 트위치가 한국 정부 사행성 방지 협조 요청을 무시한 것으로 확인됐다.,<sbj:아마존> 자회사 인터넷방송플랫폼 <obj:트위치>가 한국 정부 사행성 방지 협조 요청을 무시한 것으로 확인됐다.,org:members,"{'start': 0, 'text': '아마존', 'type': 'org'}","{'start': 17, 'text': '트위치', 'type': 'org'}",org:members,org:members
"2012년 연방 법무부는 다른 실리콘밸리 기업들과 함께 이베이가 하이테크 우수인력 채용과 관련하여 서로의 직원을 채용하지 않고 이직을 막는 담합을 했다는 이유로 기소하였는데, 이들 기업들은 직원의 이직을 막으려는 시도 또는 기업 간 인력 확보 경쟁을 제한하는 담합을 앞으로 하지 않겠다고 서약하고 법무부와 합의하였다.","2012년 <obj:연방 법무부>는 다른 실리콘밸리 기업들과 함께 <sbj:이베이>가 하이테크 우수인력 채용과 관련하여 서로의 직원을 채용하지 않고 이직을 막는 담합을 했다는 이유로 기소하였는데, 이들 기업들은 직원의 이직을 막으려는 시도 또는 기업 간 인력 확보 경쟁을 제한하는 담합을 앞으로 하지 않겠다고 서약하고 법무부와 합의하였다.",no_relation:no_relation,"{'start': 31, 'text': '이베이', 'type': 'no_relation'}","{'start': 6, 'text': '연방 법무부', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"이베이에서 거의 10년을 최고경영자로 일했던 메그 휘트먼은 이후 정치에 뛰어들기로 결정하였으며, 2008년 1월 23일 이베이는 휘트먼이 2008년 3월 31일 부로 사임하고 존 도나호가 회장 겸 CEO로 선출되었다고 발표하였다.","<obj:이베이>에서 거의 10년을 최고경영자로 일했던 메그 휘트먼은 이후 정치에 뛰어들기로 결정하였으며, 2008년 1월 23일 이베이는 휘트먼이 2008년 3월 31일 부로 사임하고 <sbj:존 도나호>가 회장 겸 CEO로 선출되었다고 발표하였다.",per:employee_of,"{'start': 98, 'text': '존 도나호', 'type': 'per'}","{'start': 0, 'text': '이베이', 'type': 'org'}",per:employee_of,per:employee_of
2018년 초 에멧 쉬어 트위치 전문경영인(CEO)는 &quot;한국 시청자 한 명당 1개월 총 시청시간은 평균 402분&quot;이라며 &quot;매일 트위치의 방송을 시청하는 한국 이용자는 약 50만명&quot;이라고 말했다.,"2018년 초 <sbj:에멧 쉬어> <obj:트위치> 전문경영인(CEO)는 ""한국 시청자 한 명당 1개월 총 시청시간은 평균 402분""이라며 ""매일 트위치의 방송을 시청하는 한국 이용자는 약 50만명""이라고 말했다.",per:employee_of,"{'start': 8, 'text': '에멧 쉬어', 'type': 'per'}","{'start': 14, 'text': '트위치', 'type': 'org'}",per:employee_of,per:employee_of
"내셔널 위민스 사커 리그는 2020년 3월 트위치가 미국과 캐나다에서 시즌당 24경기를 스트리밍하고, 오리지널 콘텐츠와 협업하며, 미국과 캐나다 이외의 모든 경기에서 법적 권리를 소유할 수 있도록 하는 3년 계약을 발표했다.","<sbj:내셔널 위민스 사커 리그>는 2020년 3월 <obj:트위치>가 미국과 캐나다에서 시즌당 24경기를 스트리밍하고, 오리지널 콘텐츠와 협업하며, 미국과 캐나다 이외의 모든 경기에서 법적 권리를 소유할 수 있도록 하는 3년 계약을 발표했다.",org:contract,"{'start': 0, 'text': '내셔널 위민스 사커 리그', 'type': 'org'}","{'start': 24, 'text': '트위치', 'type': 'org'}",org:contract,org:contract
"트위치는 또한 등급에 관계없이 특정 게임의 스트리밍을 명시적으로 금지했다; 여기에는 BMX XXX, 에로 비주얼 노벨 게임(예: Dramatical Murder), 후니팝, 린스 앤 리핏, 세컨드 라이프, 얀데레 시뮬레이터 등이 포함된다.","<sbj:트위치>는 또한 등급에 관계없이 특정 게임의 스트리밍을 명시적으로 금지했다; 여기에는 BMX XXX, 에로 비주얼 노벨 게임(예: Dramatical Murder), 후니팝, 린스 앤 리핏, 세컨드 라이프, <obj:얀데레 시뮬레이터> 등이 포함된다.",no_relation:no_relation,"{'start': 0, 'text': '트위치', 'type': 'no_relation'}","{'start': 115, 'text': '얀데레 시뮬레이터', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
핀터레스트는 DMCA(The Digital Millennium Copyright Act)의 safe habor 조항에 의해 보호받고 있는데 이를 이용해 저작권이 있는 자료를 업로드하는 이용자가 많다.,<sbj:핀터레스트>는 <obj:DMCA>(The Digital Millennium Copyright Act)의 safe habor 조항에 의해 보호받고 있는데 이를 이용해 저작권이 있는 자료를 업로드하는 이용자가 많다.,no_relation:no_relation,"{'start': 0, 'text': '핀터레스트', 'type': 'no_relation'}","{'start': 7, 'text': 'DMCA', 'type': 'no_relation'}",,
"이베이는 1995년 피에르 오미디야르에 의하여 설립되어 닷컴 버블의 주목할 만한 성공적인 사례로 꼽히고 있으며, 전 세계에서 다양한 종류의 물건과 서어비스를 일반 개인과 사업체가 사고파는 사이트 이베이 닷컴(eBay.com)을 운영하고 있다.","<obj:이베이>는 1995년 <sbj:피에르 오미디야르>에 의하여 설립되어 닷컴 버블의 주목할 만한 성공적인 사례로 꼽히고 있으며, 전 세계에서 다양한 종류의 물건과 서어비스를 일반 개인과 사업체가 사고파는 사이트 이베이 닷컴(eBay.com)을 운영하고 있다.",per:employee_of,"{'start': 11, 'text': '피에르 오미디야르', 'type': 'per'}","{'start': 0, 'text': '이베이', 'type': 'org'}",,
또한 이것은 수수료로 받는 많은 수표들을 처리하기 위해 이베이의 첫 번째 직원 크리스 아가파오를 고용하는 계기가 되었다.,또한 이것은 수수료로 받는 많은 수표들을 처리하기 위해 <obj:이베이>의 첫 번째 직원 <sbj:크리스 아가파오>를 고용하는 계기가 되었다.,per:employee_of,"{'start': 44, 'text': '크리스 아가파오', 'type': 'per'}","{'start': 31, 'text': '이베이', 'type': 'org'}",,
이베이는 한국 최초의 인터넷 경매 전문 사이트인 옥션과 G마켓을 각각 지난 2001년과 2009년에 인수하고 2011년 이베이 코리아를 출범시켰다.,<sbj:이베이>는 한국 최초의 인터넷 경매 전문 사이트인 옥션과 G마켓을 각각 지난 2001년과 2009년에 인수하고 2011년 <obj:이베이 코리아>를 출범시켰다.,org:members,"{'start': 0, 'text': '이베이', 'type': 'org'}","{'start': 67, 'text': '이베이 코리아', 'type': 'org'}",,
이베이 코리아는 한국대학신문과 각 대학 리서치 자료 등을 통해 결정된 5년 연속 ‘2015 일하기 좋은 기업’ 대상을 수상했다.,<obj:이베이 코리아>는 <sbj:한국대학신문>과 각 대학 리서치 자료 등을 통해 결정된 5년 연속 ‘2015 일하기 좋은 기업’ 대상을 수상했다.,no_relation:no_relation,"{'start': 9, 'text': '한국대학신문', 'type': 'no_relation'}","{'start': 0, 'text': '이베이 코리아', 'type': 'no_relation'}",,
세계 최초로 게임 전문 채널을 연 방송국은 한국의 케이블방송 온게임넷이다. 하지만 트위치는 세계 최초로 게임을 전문으로 하는 인터넷 동영상 스트리밍 플랫폼이다.,세계 최초로 게임 전문 채널을 연 방송국은 한국의 케이블방송 <sbj:온게임넷>이다. 하지만 <obj:트위치>는 세계 최초로 게임을 전문으로 하는 인터넷 동영상 스트리밍 플랫폼이다.,no_relation:no_relation,"{'start': 34, 'text': '온게임넷', 'type': 'no_relation'}","{'start': 46, 'text': '트위치', 'type': 'no_relation'}",,
2009년 4월 이베이는 인터파크로부터 G마켓을 인수하였다.,2009년 4월 <sbj:이베이>는 인터파크로부터 <obj:G마켓>을 인수하였다.,org:members,"{'start': 9, 'text': '이베이', 'type': 'org'}","{'start': 22, 'text': 'G마켓', 'type': 'org'}",,
또한 이베이는 온라인 송금 서어비스를 제공하는 페이팔(PayPal.com)을 2002~2015년 동안 자회사로 두고 있었다.,또한 <sbj:이베이>는 온라인 송금 서어비스를 제공하는 <obj:페이팔>(PayPal.com)을 2002~2015년 동안 자회사로 두고 있었다.,org:subsidiaries,"{'start': 3, 'text': '이베이', 'type': 'org'}","{'start': 26, 'text': '페이팔', 'type': 'org'}",,
"한편, 과거 아프리카TV 갑질 논란으로 인해 아프리카TV의 많은 인터넷 방송인들이 트위치를 비롯한 다른 플랫폼으로 이적했던 것과는 달리 이 사건으로 인해 트위치를 떠나 다른 플랫폼으로 이적한 트위치의 인터넷 방송인들은 상대적으로 적었는데, 이는 아프리카TV로 가기에는 과거 아프리카TV 갑질에 대한 부정적인 인식이 크고, 유튜브로 가기에는 유튜브의 생방송 기능이 부실하며, 카카오TV로 가기에는 다음카카오가 카카오TV를 제대로 관리하지 않는 등 트위치를 대체할 만한 마땅한 플랫폼이 없기 때문이라고 추측된다.","한편, 과거 아프리카TV 갑질 논란으로 인해 아프리카TV의 많은 인터넷 방송인들이 <sbj:트위치>를 비롯한 다른 플랫폼으로 이적했던 것과는 달리 이 사건으로 인해 트위치를 떠나 다른 플랫폼으로 이적한 트위치의 인터넷 방송인들은 상대적으로 적었는데, 이는 아프리카TV로 가기에는 과거 아프리카TV 갑질에 대한 부정적인 인식이 크고, 유튜브로 가기에는 유튜브의 생방송 기능이 부실하며, <obj:카카오TV>로 가기에는 다음카카오가 카카오TV를 제대로 관리하지 않는 등 트위치를 대체할 만한 마땅한 플랫폼이 없기 때문이라고 추측된다.",no_relation:no_relation,"{'start': 46, 'text': '트위치', 'type': 'no_relation'}","{'start': 209, 'text': '카카오TV', 'type': 'no_relation'}",,
"어도비 크리에이티브 제품군(어도비 시스템즈가 개발한 그래픽 디자인, 영상 편집, 웹 개발 응용 프로그램들이 한데 묶은 제품군)","<obj:어도비 크리에이티브 제품군>(<sbj:어도비 시스템즈>가 개발한 그래픽 디자인, 영상 편집, 웹 개발 응용 프로그램들이 한데 묶은 제품군)",org:production,"{'start': 15, 'text': '어도비 시스템즈', 'type': 'org'}","{'start': 0, 'text': '어도비 크리에이티브 제품군', 'type': 'poh'}",,
어도비(Adobe)는 미국 캘리포니아 새너제이에 본사를 둔 컴퓨터 소프트웨어 회사이다.,<sbj:어도비>(<obj:Adobe>)는 미국 캘리포니아 새너제이에 본사를 둔 컴퓨터 소프트웨어 회사이다.,org:alteranate_names,"{'start': 0, 'text': '어도비', 'type': 'org'}","{'start': 4, 'text': 'Adobe', 'type': 'org'}",,
2018년 9월 20일부터 트위치의 웹 사이트는 중국에서 접근이 불가능해졌고 트위치 애플리케이션은 현지의 모든 앱 스토어에서 삭제되었다.,<obj:2018년 9월 20일>부터 <sbj:트위치>의 웹 사이트는 중국에서 접근이 불가능해졌고 트위치 애플리케이션은 현지의 모든 앱 스토어에서 삭제되었다.,no_relation:no_relation,"{'start': 15, 'text': '트위치', 'type': 'no_relation'}","{'start': 0, 'text': '2018년 9월 20일', 'type': 'no_relation'}",,
"2014년 7월 25일에는 구글이 약 10억 달러(한화 1조 200억원)에 인수를 검토 중이라고 보도되었으나 8월 25일 아마존닷컴이 9억 7,000만 달러를 모두 현금으로 지불하여 인수하였다.","2014년 7월 25일에는 <sbj:구글>이 약 10억 달러(한화 1조 200억원)에 인수를 검토 중이라고 보도되었으나 8월 25일 <obj:아마존닷컴>이 9억 7,000만 달러를 모두 현금으로 지불하여 인수하였다.",no_relation:no_relation,"{'start': 15, 'text': '구글', 'type': 'no_relation'}","{'start': 68, 'text': '아마존닷컴', 'type': 'no_relation'}",,
아마존의 ‘트위치TV’와 트위터 ‘페리스코프’ 등 일부 글로벌 기업의 동영상 플랫폼은 자율규제 대상에서 빠졌다는 점이 한계로 거론된다.,<sbj:아마존>의 ‘<obj:트위치TV>’와 트위터 ‘페리스코프’ 등 일부 글로벌 기업의 동영상 플랫폼은 자율규제 대상에서 빠졌다는 점이 한계로 거론된다.,org:production,"{'start': 0, 'text': '아마존', 'type': 'org'}","{'start': 6, 'text': '트위치TV', 'type': 'poh'}",,
어도비는 이전 경쟁사인 매크로미디어를 2005년 12월에 인수한 바 있다.,<sbj:어도비>는 이전 경쟁사인 <obj:매크로미디어>를 2005년 12월에 인수한 바 있다.,org:members,"{'start': 0, 'text': '어도비', 'type': 'org'}","{'start': 13, 'text': '매크로미디어', 'type': 'org'}",,
"설립자 Reid Hoffman은, LinkedIn의 전 CEO로서, 현재는 이사회 장으로서 회장직을 맡고 있다.","설립자 <sbj:Reid Hoffman>은, <obj:LinkedIn>의 전 CEO로서, 현재는 이사회 장으로서 회장직을 맡고 있다.",per:employee_of,"{'start': 4, 'text': 'Reid Hoffman', 'type': 'per'}","{'start': 19, 'text': 'LinkedIn', 'type': 'org'}",,
트위치(영어: Twitch)는 비디오 게임 전용 인터넷 개인 방송 서비스이다. 미국 샌프란시스코를 본사로 두고 있으며 2011년 6월 6일부터 시작되었다.,<sbj:트위치>(영어: Twitch)는 비디오 게임 전용 인터넷 개인 방송 서비스이다. <obj:미국 샌프란시스코>를 본사로 두고 있으며 2011년 6월 6일부터 시작되었다.,org:location,"{'start': 0, 'text': '트위치', 'type': 'org'}","{'start': 44, 'text': '미국 샌프란시스코', 'type': 'loc'}",,
"사용자는 EA의 오리진 소프트웨어, 유비소프트의 유플레이 또는 밸브스팀 같은 플랫폼을 통해 OBS와 같은 독립 실행형 소프트웨어를 사용하여 윈도우, 맥 또는 리눅스 운영 체제에서 트위치로 스트리밍할 수 있다.","사용자는 EA의 오리진 소프트웨어, <sbj:유비소프트>의 <obj:유플레이> 또는 밸브스팀 같은 플랫폼을 통해 OBS와 같은 독립 실행형 소프트웨어를 사용하여 윈도우, 맥 또는 리눅스 운영 체제에서 트위치로 스트리밍할 수 있다.",org:production,"{'start': 20, 'text': '유비소프트', 'type': 'org'}","{'start': 27, 'text': '유플레이', 'type': 'poh'}",,
"설립자는 Reid Hoffman이며 Paypal과 Socialnet.com의 멤버 중에서 팀을 고용했다.(Allen Blue, Eric Ly, Jean-Luc Vaillant, Lee Hower, Konstantin Guericke, Stephen Beitzel, David Eves, Ian McNish, Yan Pujante, Chris Saccheri).","설립자는 <obj:Reid Hoffman>이며 Paypal과 <sbj:Socialnet.com>의 멤버 중에서 팀을 고용했다.(Allen Blue, Eric Ly, Jean-Luc Vaillant, Lee Hower, Konstantin Guericke, Stephen Beitzel, David Eves, Ian McNish, Yan Pujante, Chris Saccheri).",no_relation:no_relation,"{'start': 28, 'text': 'Socialnet.com', 'type': 'no_relation'}","{'start': 5, 'text': 'Reid Hoffman', 'type': 'no_relation'}",,
이베이는 또한 중국에서도 타오바오라는 현지 경쟁 사이트와의 대결에서 참패하였다.,이베이는 또한 <obj:중국>에서도 <sbj:타오바오>라는 현지 경쟁 사이트와의 대결에서 참패하였다.,org:location,"{'start': 14, 'text': '타오바오', 'type': 'org'}","{'start': 8, 'text': '중국', 'type': 'loc'}",,
